Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_SOD-323F,1,1N5819,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D5, D6, D7, D8, D9",D_SOD-123,19,1N4148W,
J1,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,1,Conn_01x06_Socket,C49232433
"J2, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",YS-SK6812MINI-E,18,YS-SK6812MINI-E,
"Q1, Q2",SOT-23,2,AO3407,
R1,0603,1,100K,
"R10, R11, R2, R3",0402,4,0k,C25744
R5,0603,1,10k,
R6,0603,1,820K,
"R7, R9",0603,2,2M,
RST,SW_SPST_CK_KXT3,1,TS2306A ,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW20, SW3, SW4, SW5, SW6, SW7, SW9",MX-Hotswap-1U,15,KEYSW,
SW18,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified,1,Rotary_Encoder_Switch,C319433
"SW21, SW22",MX-Hotswap-2U-Vertical-ReversedStabilizers,2,KEYSW,
SW8,MX-Hotswap-2U-ReversedStabilizers,1,KEYSW,
U1,E73-2G4M08S1C-52840,1,E73-2G4M08S1C,C356849
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOT-23-5,1,TP4054,
X1,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm,1,32768kHz,C5136974
